"","ClusterK2","ClusterK3","ClusterK4"
"GSM657529",2,2,2
"GSM657530",2,2,2
"GSM657531",1,3,4
"GSM657532",2,1,3
"GSM657533",2,1,3
"GSM657534",2,2,2
"GSM657535",2,2,2
"GSM657536",2,2,2
"GSM657537",2,1,3
"GSM657538",1,3,2
"GSM657539",2,1,2
"GSM657540",2,2,2
"GSM657541",2,2,2
"GSM657542",2,2,2
"GSM657543",2,1,3
"GSM657544",1,3,4
"GSM657545",2,2,1
"GSM657546",2,2,2
"GSM657547",2,2,2
"GSM657548",1,3,4
"GSM657549",2,1,3
"GSM657550",2,1,3
"GSM657551",2,2,2
"GSM657552",2,1,3
"GSM657553",2,1,1
"GSM657554",2,2,2
"GSM657555",2,1,3
"GSM657556",1,2,2
"GSM657557",2,2,2
"GSM657558",2,2,2
"GSM657559",1,3,4
"GSM657560",2,2,1
"GSM657561",1,2,2
"GSM657562",2,2,2
"GSM657563",2,2,2
"GSM657564",2,2,1
"GSM657565",2,1,3
"GSM657566",1,3,4
"GSM657567",2,2,1
"GSM657568",1,2,2
"GSM657569",2,2,2
"GSM657570",2,2,1
"GSM657571",2,2,2
"GSM657572",2,2,1
"GSM657573",2,2,1
"GSM657574",2,2,2
"GSM657575",2,2,1
"GSM657576",1,3,4
"GSM657577",2,2,1
"GSM657578",2,2,1
"GSM657579",2,2,1
"GSM657580",2,1,3
"GSM657581",2,2,2
"GSM657582",2,1,3
"GSM657583",2,2,2
"GSM657584",2,2,2
"GSM657585",1,3,4
"GSM657586",2,2,2
"GSM657587",2,2,2
"GSM657588",2,2,2
"GSM657589",2,1,3
"GSM657590",2,1,3
"GSM657591",2,1,3
"GSM657592",2,2,2
"GSM657593",2,2,2
"GSM657594",2,2,2
"GSM657595",2,1,3
"GSM657596",2,2,1
"GSM657597",1,3,4
"GSM657598",1,3,4
"GSM657599",2,2,2
"GSM657600",2,1,3
"GSM657601",2,1,3
"GSM657602",2,2,2
"GSM657603",2,2,1
"GSM657604",2,1,3
"GSM657605",2,2,2
"GSM657606",2,2,2
"GSM657607",2,1,2
"GSM657608",2,1,3
"GSM657609",2,2,2
"GSM657610",2,2,2
"GSM657611",1,3,4
"GSM657612",2,2,2
"GSM657613",2,1,3
"GSM657614",2,1,3
"GSM657615",1,3,4
"GSM657616",2,1,3
"GSM657617",2,1,3
"GSM657618",2,1,3
"GSM657619",2,2,2
"GSM657620",2,2,2
"GSM657621",1,3,4
"GSM657622",2,1,1
"GSM657623",2,2,2
"GSM657624",1,3,2
"GSM657625",1,2,2
"GSM657626",2,1,3
"GSM657627",2,2,1
"GSM657628",2,2,2
"GSM657629",2,2,2
"GSM657630",2,1,3
"GSM657631",1,3,4
"GSM657632",1,3,4
"GSM657633",2,2,1
"GSM657634",1,3,4
"GSM657635",2,2,2
"GSM657636",2,1,3
"GSM657637",1,2,1
"GSM657638",2,2,2
"GSM657639",2,2,1
"GSM657640",1,3,4
"GSM657641",1,2,2
"GSM657642",2,2,2
"GSM657643",2,2,2
"GSM657644",2,2,2
"GSM657645",2,2,2
"GSM657646",2,1,3
"GSM657647",1,3,4
"GSM657648",2,1,3
"GSM657649",2,2,1
"GSM657650",2,1,3
"GSM657651",2,1,3
"GSM657652",1,3,4
"GSM657653",2,2,2
"GSM657654",2,2,2
"GSM657655",2,2,2
"GSM657656",2,2,2
"GSM657657",2,2,2
"GSM657658",2,1,3
"GSM657659",2,2,2
"GSM657660",2,2,2
"GSM657661",2,2,2
"GSM657662",2,1,3
"GSM657663",2,1,3
"GSM657664",2,1,3
"GSM657665",2,1,3
"GSM657666",2,2,2
"GSM657667",2,2,2
"GSM657668",2,2,2
"GSM657669",1,3,4
"GSM657670",2,2,2
"GSM657671",2,1,3
"GSM657672",2,1,3
"GSM657673",2,1,3
"GSM657674",2,1,3
"GSM657675",2,2,2
"GSM657676",2,1,3
"GSM657677",2,1,3
"GSM657678",2,2,1
"GSM657679",2,2,1
"GSM657680",1,3,4
"GSM657681",1,3,4
"GSM657682",1,2,2
"GSM657683",2,2,2
"GSM657684",2,2,2
"GSM657685",2,1,3
"GSM657686",2,2,2
"GSM657687",2,2,2
"GSM657688",2,2,2
"GSM657689",2,1,3
"GSM657690",2,2,1
"GSM657691",2,2,2
"GSM657692",2,2,2
"GSM657693",2,2,1
"GSM657694",2,2,1
"GSM657695",1,2,2
"GSM657696",2,1,3
"GSM657697",2,2,1
"GSM657698",2,2,2
"GSM657699",2,2,1
"GSM657700",1,3,4
"GSM657701",2,2,2
"GSM657702",2,2,2
"GSM657703",2,2,2
"GSM657704",2,1,3
"GSM657705",2,2,1
"GSM657706",2,2,2
"GSM657707",2,2,1
"GSM657708",2,1,2
"GSM657709",2,2,1
"GSM657710",2,2,2
"GSM657711",2,1,3
"GSM657712",2,1,3
"GSM657713",2,1,3
