"","SAMD_1","SAMP_1","SAMD_2","SAMP_2","SAMD_3","SAMP_3"
"A1CF",-3.05886847193487,0.00266745766368245,-0.207780274943717,0.837154568007766,2.68305284869143,0.00674684500053932
"AAAS",-6.68152979132444,0,7.95649467551942,0,-2.07573968012395,0.0366540826232337
"AACS",-5.5527895570326,0,2.33222400717338,0.0215543091360155,2.32549709053654,0.0189601984683421
"AADAC",0.528556256273042,0.599736813720203,-3.6669857215051,0.000377521302987811,2.42440746723056,0.0144504368460792
"AAK1",-2.11975943689755,0.0359443425736167,-1.42895159320814,0.157061805630461,3.05923008331911,0.00199762700895265
"AAMDC",-3.53736516996335,0.000573832380541473,-0.960048535796896,0.341599611692374,3.698415808205,0.000185524754611153
"AAMP",-6.56145083166981,0,4.08554367404244,0.000101391435659584,1.94750771351571,0.0502955452486247
"AARS",-1.65086464938983,0.102382698738,1.79249833327254,0.0765246467479236,-0.235519197005929,0.812948980692482
"AASDHPPT",0.922698048113422,0.359688275266962,1.94210276795681,0.0550922230611584,-2.66158003865003,0.00721173551936145
"AASS",0.870972587961021,0.387156725272355,2.74900319229617,0.00701326717721929,-3.53808258556893,0.000348398231043037
"AATF",-3.79023133863266,0.000244849530794952,4.69474804574925,6.47179376550534e-06,-0.733013595129452,0.462317980800345
"AATK",-1.59588079653372,0.114127925790098,0.816117206738978,0.419079926653004,0.52165088408989,0.601004206665948
"ABAT",-5.52121232885463,0,4.42115828454809,2.58871750620214e-05,0.541774290505946,0.586959335562507
"ABCA1",7.49793024971551,0,-6.41633515385661,0,-0.286540618180619,0.773669507065042
"ABCA12",-0.169257013673826,0.866532197173983,-0.721404077555382,0.474563693236976,0.784749952802365,0.43146909718477
"ABCA2",-2.31015111816072,0.0225542012727861,2.70631998041439,0.00788695933556251,-0.526642594601855,0.597473843166864
"ABCA3",-4.87309330721496,2.15726458850178e-06,2.73379905276635,0.00732499191025779,1.47565160861524,0.138286053284435
"ABCA4",-1.72993430244723,0.086999244957394,0.756781561925923,0.453482903678136,0.889002542368745,0.372720310646101
"ABCA5",-1.17431475889587,0.243776291662172,-0.230945666577446,0.819265451407615,1.2035517658434,0.226480422823859
"ABCA6",6.40868713894564,0,-3.50923611207458,0.000670909287024054,-4.38630534313338,6.47179376550534e-06
"ABCA8",5.67592474414188,0,-0.553274048959751,0.583367490022651,-5.56988658412876,0
"ABCB1",-0.170706793232068,0.865380217883723,-1.76030639502535,0.0818908424118218,1.47015862632518,0.139712005177435
"ABCB4",2.1109635877487,0.0367252723546543,-2.10179322099622,0.0382687951677273,-0.256560233747189,0.796719879193183
"ABCB7",-3.14638205431079,0.00203537913925143,-1.02604235279412,0.309702297486787,3.59909813292856,0.000272893970445475
"ABCB9",-2.83133219557567,0.0053349153273649,1.59263775426727,0.115162334160285,0.78590651806574,0.430815446014454
"ABCC1",-1.45262375746347,0.150327904217452,5.77319720072349,0,-4.36155485204345,6.47179376550534e-06
"ABCC10",-1.68789234164084,0.094871103440837,1.61884134246158,0.109404594973574,0.0130899412625958,0.989449897529932
"ABCC2",-1.88248873206155,0.0625876388739079,0.98161308323406,0.330975083594003,1.01088602600945,0.310120806816956
"ABCC3",3.29970963973095,0.00123611260921152,-6.76092709080279,0,2.08113989859447,0.0361622262970553
"ABCC4",-2.55822318222444,0.0117322834645669,-1.73036474915578,0.0871524107431776,3.58629474221189,0.000285837557976486
"ABCC5",-0.471819339332346,0.639356056520332,2.13427465162143,0.0354233631754935,-1.62381737740129,0.102773163628519
"ABCC6",-2.63582487292473,0.00945636932369755,1.11795715706568,0.268080034516233,1.08618480653143,0.275378060619135
"ABCC8",-3.30157553703367,0.00122856218315176,-1.0920888259867,0.279377629166217,3.9038656347077,7.98187897745659e-05
"ABCC9",-0.734379958845012,0.465723222953295,0.380429222264416,0.706752238162011,0.274880365659089,0.78248409017366
"ABCD3",-1.80595839747391,0.073985546327257,0.0621669018288887,0.951016071621184,1.46911106233496,0.139990292309352
"ABCE1",0.262514230081974,0.794230395858052,-1.59546876899588,0.114517312048323,1.20327646511088,0.226582892891813
"ABCF1",-1.85121324743069,0.0670348398231043,3.69180005105622,0.000354870024808543,-1.6010466167566,0.107664761082947
"ABCF2",-2.31868672402211,0.0220666594757847,1.64106339993515,0.104619782116277,0.379277823639202,0.703665192535865
"ABCG2",-5.97605402744167,0,2.02796641819774,0.0452906914033006,2.80469502885163,0.00467694962787186
"ABCG4",-3.11356692931049,0.00226297055333837,1.56071671398776,0.122509977348722,1.45007622995525,0.145234602524
"ABHD10",-2.39040492514515,0.0183745011325639,2.57807387015933,0.011212382698738,-0.363621799560279,0.715481609319383
"ABHD11",-0.239736276407289,0.811753856110452,-5.0362926213068,1.07863229425089e-06,5.08558155509862,1.07863229425089e-06
"ABHD14A",-4.86484514411006,3.23589688275267e-06,2.09102904721316,0.0392384856002589,1.94597036682147,0.0504573400927624
"ABHD17B",-0.661628279828887,0.511340739941754,2.22685958042597,0.0282094703915435,-1.61972776473373,0.103650091683745
"ABHD2",4.58526806332828,1.18649552367598e-05,-1.12420088679524,0.26534138712113,-3.12265283230428,0.00160392622155107
"ABHD3",2.38013480260402,0.018839391651386,-6.882267167313,0,4.84708164043782,2.15726458850178e-06
"ABHD4",0.985587089262197,0.327732714917485,0.473215818259104,0.639399201812102,-1.2625905412828,0.204546435120267
"ABHD5",0.455672055927577,0.65087800668752,-5.1200373858821,0,3.92780337695318,7.01110991263078e-05
"ABHD6",-1.05745008283206,0.294015748031496,-0.811979559816771,0.421340739941754,1.56651753744984,0.115592708445691
"ABHD8",-5.61237442074944,0,5.37636045987707,0,-1.00740258976028,0.311807787725164
"ABI1",-0.187558580854487,0.852313666271168,-3.35631589884376,0.00112285621831518,3.19542796799878,0.00123503397691727
"ABI2",-4.43526496356417,2.26512781792687e-05,3.30448222625155,0.00131485276669183,0.649467177671051,0.514943371804552
"ABI3BP",-4.95844798996104,0,3.16091511188993,0.0020030201704239,-0.326310928081028,0.743591845539855
"ABL1",3.43055359906504,0.000803581059216913,5.70179250373132,0,-8.16634317431118,0
"ABL2",2.52876392560784,0.01269981663251,-1.99998411389201,0.0483000755042606,-0.439325182295421,0.659665623988782
"ABLIM3",2.80797882044534,0.00568978535217344,-3.72710820829278,0.000311724733038507,0.133126109144261,0.893351310538237
"ABR",4.67632367769791,5.39316147125445e-06,-1.24800028500605,0.216239887822241,-3.15936999507112,0.00141516557005717
"ABT1",-2.71601914719452,0.00756444827958149,4.05947644346633,0.000113256390896343,-1.44815093035381,0.145765289612771
"ABTB2",-3.27194924930654,0.00136770574911013,6.62761512683183,0,-4.45053640883219,6.47179376550534e-06
"ACAA1",-0.4574487057728,0.649601984683421,-4.92835723593713,2.15726458850178e-06,4.99749854244669,2.15726458850178e-06
"ACAA2",0.435351444712554,0.665113795707043,4.24037015835276,5.82461438895481e-05,-3.73377167068313,0.000171502534785891
"ACACA",-1.50471663860675,0.136492287779096,0.784994696616179,0.43689677488944,0.598880680775848,0.5480487541797
"ACAD10",-5.45079519609954,0,3.65100961214507,0.000399093948872829,1.02080825095265,0.305376981986841
"ACAD8",-3.14763632549866,0.00202351418401467,1.8537221916349,0.0670607269981663,1.02234934162066,0.304670477834106
"ACADL",-1.36960857272691,0.174569086398447,0.283447981450118,0.779456369323698,0.891730573640501,0.371243663035271
"ACADM",-4.4411734490115,2.15726458850178e-05,0.151587556124018,0.880963218638766,3.84692156060869,9.59982741883292e-05
"ACADS",-3.68888113089289,0.000344083701866034,-1.74064912808089,0.0853812965160177,4.4213654354971,6.47179376550534e-06
"ACADSB",-0.0756429095518194,0.939717398338906,-3.11701014099152,0.00228993636069464,2.77800171875593,0.00506633588609643
"ACADVL",-0.58229887288315,0.563070866141732,-1.34447420244963,0.183214324236868,1.73592193894926,0.0809934203430051
"ACAN",5.55982193464286,0,-1.99792677220459,0.048512566066228,-2.55918781966973,0.0098133966130946
"ACAP1",-2.12527100424086,0.0354449358213785,-1.09405890863238,0.278571890842412,2.7683699211894,0.00523136662711682
"ACAP2",-1.25551131882201,0.213029878114551,1.28273455398962,0.20383669507065,-0.0423972798132474,0.965769604141948
"ACAT1",-1.80199654799958,0.0745755581922123,-3.67088029967661,0.000373206773810808,4.85683912785306,2.15726458850178e-06
"ACAT2",-1.11744009975961,0.26765289612771,-3.06416688241775,0.00270844569086398,3.66351055882687,0.00020601876820192
"ACBD3",1.07779667090074,0.284887282925251,-1.86686179462114,0.0652044008197605,0.815132194931426,0.413769819868407
"ACBD4",-2.32442682473716,0.0217484629489807,-0.11128588577139,0.912410743177651,2.1998043915169,0.0265904433178729
"ACD",-2.14032854598201,0.03420450868299,1.01140009743399,0.316634667241937,0.792712362471037,0.426869809082084
"ACE",0.959770142760701,0.340742099018445,-0.86498474753841,0.392051558623665,-0.154300136940775,0.876750080897422
"ACE2",-2.02234228887787,0.0453705101930752,-6.49513037551473,0,6.03582157866677,0
"ACHE",-1.94883876311266,0.0537730557652896,-0.0422379848223851,0.966729586883831,1.73339317024255,0.0814486031711789
"ACKR2",0.338613007282632,0.736672419372236,-2.86093885423924,0.00507496494445044,2.06896299834649,0.0372473303850717
"ACKR3",5.22154477276466,0,7.48571722453894,0,-11.5534403205263,0
"ACKR4",8.52500076419241,0,-5.98174896155622,0,-6.33013377748416,0
"ACO2",0.315774357846715,0.753749325854816,-5.10910002972255,0,4.38878535220308,6.47179376550534e-06
"ACOT11",-2.53553061932641,0.012459281630892,1.56519941865768,0.121482040772301,0.753135368595921,0.45020817603279
"ACOT13",-1.45279566733409,0.150280444396505,-0.745837823106416,0.459959011972818,1.87242081000317,0.0597637795275591
"ACOT7",1.4597416448966,0.148396073778449,1.07444222465556,0.287227915003775,-2.31088039839754,0.0196958256930212
"ACOT8",-1.78797005808229,0.0768234278934311,2.46491191746045,0.0153284435335994,-0.467670467728836,0.639352820623449
"ACOT9",3.08579509261317,0.00245928163089203,-4.6208704914864,1.18649552367598e-05,2.18975887467487,0.0273066551612555
"ACOX1",1.2464143115189,0.216266853629598,-3.94217073454721,0.00015748031496063,2.53068621373465,0.0106763024484953
"ACOX2",-1.68431569841193,0.0956013375040449,-0.255941896163198,0.800221119620321,1.58596456509885,0.111040880163952
"ACOX3",0.44663365599471,0.657181533815122,-0.824114214488378,0.414598209470392,0.409108341632957,0.681713946715565
"ACOXL",-0.950748560008933,0.345181749541581,1.55781456971014,0.1231895156941,-0.544306372557299,0.585135368352928
"ACP1",-1.38850887982428,0.168788695933556,4.71255126475114,6.47179376550534e-06,-3.02811421287167,0.00223384748139359
"ACP2",2.3562560848893,0.0200938410095998,-3.94091988241541,0.00015748031496063,1.50945849130934,0.129579333405242
"ACP5",2.11909928512061,0.0360047459820947,-5.80184190593731,0,3.12285503210801,0.00160284758925682
"ACP6",-4.10631429846508,7.8740157480315e-05,-1.59731830446104,0.114107431776507,4.92933572127675,2.15726458850178e-06
"ACPP",-1.54532306579953,0.126044655376982,-6.95366151606578,0,6.21613921068096,0
"ACR",-3.46472545513204,0.000721605004853845,0.729943576671085,0.469332326609859,2.47164308378788,0.0126534354438572
"ACRV1",1.74064216268874,0.0850674145183907,0.529345673460872,0.599759464998382,-2.05630337914568,0.038482364361989
"ACSBG1",-3.2660489044173,0.00139790745334915,-0.833196851416776,0.409477941969583,3.54655571970978,0.000337611908100529
